layer,bits,params,relative_size,bit_storage,accuracy,f1,accuracy_loss,f1_loss
0,2,7087872,2,14175744,0.478,0.0,0.41600000000000004,0.8978805394990366
0,4,7087872,4,28351488,0.888,0.89272030651341,0.006000000000000005,0.005160232985626623
0,8,7087872,8,56702976,0.894,0.8978805394990366,0.0,0.0
1,2,7087872,2,14175744,0.472,0.12582781456953643,0.42200000000000004,0.7720527249295002
1,4,7087872,4,28351488,0.898,0.9009708737864077,0.0,0.0
1,8,7087872,8,56702976,0.894,0.8978805394990366,0.0,0.0
2,2,7087872,2,14175744,0.478,0.0,0.41600000000000004,0.8978805394990366
2,4,7087872,4,28351488,0.872,0.8754863813229572,0.02200000000000002,0.02239415817607937
2,8,7087872,8,56702976,0.892,0.896551724137931,0.0020000000000000018,0.0013288153611055176
3,2,7087872,2,14175744,0.524,0.6868421052631579,0.37,0.21103843423587865
3,4,7087872,4,28351488,0.882,0.8831683168316832,0.01200000000000001,0.014712222667353392
3,8,7087872,8,56702976,0.896,0.8988326848249028,0.0,0.0
4,2,7087872,2,14175744,0.478,0.0076045627376425855,0.41600000000000004,0.890275976761394
4,4,7087872,4,28351488,0.882,0.8840864440078585,0.01200000000000001,0.013794095491178049
4,8,7087872,8,56702976,0.884,0.8888888888888888,0.010000000000000009,0.008991650610147728
5,2,7087872,2,14175744,0.478,0.0,0.41600000000000004,0.8978805394990366
5,4,7087872,4,28351488,0.86,0.8541666666666666,0.03400000000000003,0.04371387283236994
5,8,7087872,8,56702976,0.9,0.9034749034749034,0.0,0.0
6,2,7087872,2,14175744,0.526,0.6877470355731226,0.368,0.210133503925914
6,4,7087872,4,28351488,0.88,0.8818897637795275,0.014000000000000012,0.01599077571950902
6,8,7087872,8,56702976,0.894,0.8974854932301741,0.0,0.0003950462688624423
7,2,7087872,2,14175744,0.478,0.0,0.41600000000000004,0.8978805394990366
7,4,7087872,4,28351488,0.866,0.8629856850715747,0.028000000000000025,0.034894854427461874
7,8,7087872,8,56702976,0.89,0.8944337811900192,0.0040000000000000036,0.003446758309017417
8,2,7087872,2,14175744,0.522,0.6859395532194481,0.372,0.21194098627958846
8,4,7087872,4,28351488,0.88,0.8828125,0.014000000000000012,0.015068039499036567
8,8,7087872,8,56702976,0.896,0.8992248062015504,0.0,0.0
9,2,7087872,2,14175744,0.478,0.0,0.41600000000000004,0.8978805394990366
9,4,7087872,4,28351488,0.884,0.8871595330739299,0.010000000000000009,0.01072100642510665
9,8,7087872,8,56702976,0.894,0.8974854932301741,0.0,0.0003950462688624423
10,2,7087872,2,14175744,0.478,0.0,0.41600000000000004,0.8978805394990366
10,4,7087872,4,28351488,0.904,0.9058823529411765,0.0,0.0
10,8,7087872,8,56702976,0.894,0.8978805394990366,0.0,0.0
11,2,7087872,2,14175744,0.876,0.8880866425992779,0.018000000000000016,0.009793896899758625
11,4,7087872,4,28351488,0.884,0.8893129770992366,0.010000000000000009,0.008567562399799944
11,8,7087872,8,56702976,0.894,0.8978805394990366,0.0,0.0
